Nx = 31
Nt = 750
n/j; 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 
180(7.2); 20.0539; 20.0539; 19.9946; 19.8767; 19.7015; 19.4712; 19.1884; 18.8566; 18.4795; 18.0618; 17.6082; 17.1241; 16.6152; 16.0874; 15.5469; 15; 14.4531; 13.9126; 13.3848; 12.8759; 12.3918; 11.9382; 11.5205; 11.1434; 10.8116; 10.5288; 10.2985; 10.1233; 10.0054; 9.94605; 9.94605; 
181(7.24); 20.0303; 20.0303; 19.9713; 19.8539; 19.6795; 19.4503; 19.1689; 18.8386; 18.4633; 18.0475; 17.596; 17.1142; 16.6077; 16.0823; 15.5443; 15; 14.4557; 13.9177; 13.3923; 12.8858; 12.404; 11.9525; 11.5367; 11.1614; 10.8311; 10.5497; 10.3205; 10.1461; 10.0287; 9.96967; 9.96967; 
182(7.28); 20.0068; 20.0068; 19.9481; 19.8312; 19.6577; 19.4295; 19.1494; 18.8207; 18.4472; 18.0333; 17.584; 17.1044; 16.6002; 16.0773; 15.5418; 15; 14.4582; 13.9227; 13.3998; 12.8956; 12.416; 11.9667; 11.5528; 11.1793; 10.8506; 10.5705; 10.3423; 10.1688; 10.0519; 9.99318; 9.99318; 
183(7.32); 19.9834; 19.9834; 19.9249; 19.8086; 19.6359; 19.4088; 19.13; 18.8029; 18.4311; 18.0192; 17.5719; 17.0946; 16.5927; 16.0723; 15.5393; 15; 14.4607; 13.9277; 13.4073; 12.9054; 12.4281; 11.9808; 11.5689; 11.1971; 10.87; 10.5912; 10.3641; 10.1914; 10.0751; 10.0166; 10.0166; 
184(7.36); 19.9601; 19.9601; 19.9019; 19.7862; 19.6143; 19.3883; 19.1108; 18.7851; 18.4151; 18.0051; 17.5599; 17.0848; 16.5853; 16.0673; 15.5368; 15; 14.4632; 13.9327; 13.4147; 12.9152; 12.4401; 11.9949; 11.5849; 11.2149; 10.8892; 10.6117; 10.3857; 10.2138; 10.0981; 10.0399; 10.0399; 
185(7.4); 19.937; 19.937; 19.879; 19.7638; 19.5927; 19.3678; 19.0916; 18.7675; 18.3992; 17.9911; 17.548; 17.0751; 16.5779; 16.0623; 15.5343; 15; 14.4657; 13.9377; 13.4221; 12.9249; 12.452; 12.0089; 11.6008; 11.2325; 10.9084; 10.6322; 10.4073; 10.2362; 10.121; 10.063; 10.063; 
186(7.44); 19.9139; 19.9139; 19.8562; 19.7416; 19.5713; 19.3474; 19.0725; 18.7499; 18.3833; 17.9772; 17.5361; 17.0655; 16.5706; 16.0574; 15.5318; 15; 14.4682; 13.9426; 13.4294; 12.9345; 12.4639; 12.0228; 11.6167; 11.2501; 10.9275; 10.6526; 10.4287; 10.2584; 10.1438; 10.0861; 10.0861; 
187(7.48); 19.8909; 19.8909; 19.8335; 19.7194; 19.5499; 19.3271; 19.0535; 18.7324; 18.3676; 17.9633; 17.5243; 17.0558; 16.5633; 16.0525; 15.5293; 15; 14.4707; 13.9475; 13.4367; 12.9442; 12.4757; 12.0367; 11.6324; 11.2676; 10.9465; 10.6729; 10.4501; 10.2806; 10.1665; 10.1091; 10.1091; 
188(7.52); 19.8681; 19.8681; 19.811; 19.6974; 19.5287; 19.3069; 19.0346; 18.715; 18.3519; 17.9495; 17.5126; 17.0463; 16.556; 16.0476; 15.5269; 15; 14.4731; 13.9524; 13.444; 12.9537; 12.4874; 12.0505; 11.6481; 11.285; 10.9654; 10.6931; 10.4713; 10.3026; 10.189; 10.1319; 10.1319; 
189(7.56); 19.8453; 19.8453; 19.7885; 19.6754; 19.5075; 19.2868; 19.0157; 18.6977; 18.3362; 17.9357; 17.5009; 17.0367; 16.5488; 16.0427; 15.5244; 15; 14.4756; 13.9573; 13.4512; 12.9633; 12.4991; 12.0643; 11.6638; 11.3023; 10.9843; 10.7132; 10.4925; 10.3246; 10.2115; 10.1547; 10.1547; 
190(7.6); 19.8227; 19.8227; 19.7661; 19.6536; 19.4865; 19.2668; 18.997; 18.6804; 18.3207; 17.922; 17.4892; 17.0272; 16.5415; 16.0378; 15.522; 15; 14.478; 13.9622; 13.4585; 12.9728; 12.5108; 12.078; 11.6793; 11.3196; 11.003; 10.7332; 10.5135; 10.3464; 10.2339; 10.1773; 10.1773; 
191(7.64); 19.8002; 19.8002; 19.7439; 19.6319; 19.4655; 19.2468; 18.9784; 18.6632; 18.3052; 17.9084; 17.4776; 17.0178; 16.5344; 16.033; 15.5195; 15; 14.4805; 13.967; 13.4656; 12.9822; 12.5224; 12.0916; 11.6948; 11.3368; 11.0216; 10.7532; 10.5345; 10.3681; 10.2561; 10.1998; 10.1998; 
192(7.68); 19.7778; 19.7778; 19.7217; 19.6102; 19.4447; 19.227; 18.9598; 18.6461; 18.2898; 17.8949; 17.4661; 17.0084; 16.5272; 16.0282; 15.5171; 15; 14.4829; 13.9718; 13.4728; 12.9916; 12.5339; 12.1051; 11.7102; 11.3539; 11.0402; 10.773; 10.5553; 10.3898; 10.2783; 10.2222; 10.2222; 
193(7.72); 19.7554; 19.7554; 19.6996; 19.5887; 19.4239; 19.2073; 18.9413; 18.6291; 18.2744; 17.8814; 17.4546; 16.999; 16.5201; 16.0234; 15.5147; 15; 14.4853; 13.9766; 13.4799; 13.001; 12.5454; 12.1186; 11.7256; 11.3709; 11.0587; 10.7927; 10.5761; 10.4113; 10.3004; 10.2446; 10.2446; 
194(7.76); 19.7332; 19.7332; 19.6777; 19.5673; 19.4033; 19.1877; 18.9229; 18.6122; 18.2592; 17.8679; 17.4431; 16.9897; 16.513; 16.0186; 15.5123; 15; 14.4877; 13.9814; 13.487; 13.0103; 12.5569; 12.1321; 11.7408; 11.3878; 11.0771; 10.8123; 10.5967; 10.4327; 10.3223; 10.2668; 10.2668; 
195(7.8); 19.7111; 19.7111; 19.6558; 19.5459; 19.3827; 19.1681; 18.9046; 18.5953; 18.244; 17.8546; 17.4317; 16.9804; 16.506; 16.0139; 15.5099; 15; 14.4901; 13.9861; 13.494; 13.0196; 12.5683; 12.1454; 11.756; 11.4047; 11.0954; 10.8319; 10.6173; 10.4541; 10.3442; 10.2889; 10.2889; 
196(7.84); 19.6891; 19.6891; 19.6341; 19.5247; 19.3623; 19.1486; 18.8864; 18.5786; 18.2288; 17.8413; 17.4204; 16.9712; 16.499; 16.0092; 15.5075; 15; 14.4925; 13.9908; 13.501; 13.0288; 12.5796; 12.1587; 11.7712; 11.4214; 11.1136; 10.8514; 10.6377; 10.4753; 10.3659; 10.3109; 10.3109; 
197(7.88); 19.6672; 19.6672; 19.6124; 19.5036; 19.3419; 19.1293; 18.8683; 18.5619; 18.2138; 17.828; 17.4091; 16.962; 16.492; 16.0045; 15.5052; 15; 14.4948; 13.9955; 13.508; 13.038; 12.5909; 12.172; 11.7862; 11.4381; 11.1317; 10.8707; 10.6581; 10.4964; 10.3876; 10.3328; 10.3328; 
198(7.92); 19.6454; 19.6454; 19.5909; 19.4825; 19.3216; 19.11; 18.8502; 18.5453; 18.1988; 17.8148; 17.3979; 16.9529; 16.485; 15.9998; 15.5028; 15; 14.4972; 14.0002; 13.515; 13.0471; 12.6021; 12.1852; 11.8012; 11.4547; 11.1498; 10.89; 10.6784; 10.5175; 10.4091; 10.3546; 10.3546; 
199(7.96); 19.6237; 19.6237; 19.5695; 19.4616; 19.3014; 19.0908; 18.8322; 18.5287; 18.1839; 17.8017; 17.3867; 16.9438; 16.4781; 15.9951; 15.5005; 15; 14.4995; 14.0049; 13.5219; 13.0562; 12.6133; 12.1983; 11.8161; 11.4713; 11.1678; 10.9092; 10.6986; 10.5384; 10.4305; 10.3763; 10.3763; 
200(8); 19.6021; 19.6021; 19.5481; 19.4408; 19.2814; 19.0717; 18.8143; 18.5123; 18.169; 17.7886; 17.3756; 16.9347; 16.4712; 15.9905; 15.4982; 15; 14.5018; 14.0095; 13.5288; 13.0653; 12.6244; 12.2114; 11.831; 11.4877; 11.1857; 10.9283; 10.7186; 10.5592; 10.4519; 10.3979; 10.3979; 
201(8.04); 19.5806; 19.5806; 19.5269; 19.42; 19.2614; 19.0527; 18.7965; 18.4959; 18.1542; 17.7756; 17.3645; 16.9257; 16.4644; 15.9859; 15.4958; 15; 14.5042; 14.0141; 13.5356; 13.0743; 12.6355; 12.2244; 11.8458; 11.5041; 11.2035; 10.9473; 10.7386; 10.58; 10.4731; 10.4194; 10.4194; 
202(8.08); 19.5592; 19.5592; 19.5057; 19.3994; 19.2415; 19.0338; 18.7788; 18.4796; 18.1395; 17.7627; 17.3535; 16.9167; 16.4575; 15.9813; 15.4935; 15; 14.5065; 14.0187; 13.5425; 13.0833; 12.6465; 12.2373; 11.8605; 11.5204; 11.2212; 10.9662; 10.7585; 10.6006; 10.4943; 10.4408; 10.4408; 
203(8.12); 19.5379; 19.5379; 19.4847; 19.3789; 19.2217; 19.015; 18.7612; 18.4633; 18.1249; 17.7498; 17.3425; 16.9078; 16.4507; 15.9767; 15.4912; 15; 14.5088; 14.0233; 13.5493; 13.0922; 12.6575; 12.2502; 11.8751; 11.5367; 11.2388; 10.985; 10.7783; 10.6211; 10.5153; 10.4621; 10.4621; 
204(8.16); 19.5167; 19.5167; 19.4638; 19.3584; 19.202; 18.9962; 18.7436; 18.4472; 18.1103; 17.737; 17.3316; 16.8989; 16.444; 15.9721; 15.4889; 15; 14.5111; 14.0279; 13.556; 13.1011; 12.6684; 12.263; 11.8897; 11.5528; 11.2564; 11.0038; 10.798; 10.6416; 10.5362; 10.4833; 10.4833; 
205(8.2); 19.4956; 19.4956; 19.4429; 19.3381; 19.1823; 18.9776; 18.7262; 18.4311; 18.0958; 17.7242; 17.3207; 16.89; 16.4372; 15.9676; 15.4867; 15; 14.5133; 14.0324; 13.5628; 13.11; 12.6793; 12.2758; 11.9042; 11.5689; 11.2738; 11.0224; 10.8177; 10.6619; 10.5571; 10.5044; 10.5044; 
206(8.24); 19.4746; 19.4746; 19.4222; 19.3178; 19.1628; 18.959; 18.7088; 18.4151; 18.0813; 17.7115; 17.3099; 16.8812; 16.4305; 15.9631; 15.4844; 15; 14.5156; 14.0369; 13.5695; 13.1188; 12.6901; 12.2885; 11.9187; 11.5849; 11.2912; 11.041; 10.8372; 10.6822; 10.5778; 10.5254; 10.5254; 
207(8.28); 19.4538; 19.4538; 19.4015; 19.2976; 19.1434; 18.9405; 18.6915; 18.3991; 18.067; 17.6988; 17.2991; 16.8725; 16.4239; 15.9586; 15.4821; 15; 14.5179; 14.0414; 13.5761; 13.1275; 12.7009; 12.3012; 11.933; 11.6009; 11.3085; 11.0595; 10.8566; 10.7024; 10.5985; 10.5462; 10.5462; 
208(8.32); 19.433; 19.433; 19.381; 19.2776; 19.124; 18.9221; 18.6742; 18.3833; 18.0526; 17.6863; 17.2884; 16.8637; 16.4172; 15.9541; 15.4799; 15; 14.5201; 14.0459; 13.5828; 13.1363; 12.7116; 12.3137; 11.9474; 11.6167; 11.3258; 11.0779; 10.876; 10.7224; 10.619; 10.567; 10.567; 
209(8.36); 19.4123; 19.4123; 19.3605; 19.2576; 19.1048; 18.9038; 18.6571; 18.3675; 18.0384; 17.6737; 17.2777; 16.855; 16.4106; 15.9497; 15.4776; 15; 14.5224; 14.0503; 13.5894; 13.145; 12.7223; 12.3263; 11.9616; 11.6325; 11.3429; 11.0962; 10.8952; 10.7424; 10.6395; 10.5877; 10.5877; 
210(8.4); 19.3916; 19.3916; 19.3401; 19.2377; 19.0856; 18.8856; 18.64; 18.3518; 18.0242; 17.6613; 17.2671; 16.8464; 16.4041; 15.9453; 15.4754; 15; 14.5246; 14.0547; 13.5959; 13.1536; 12.7329; 12.3387; 11.9758; 11.6482; 11.36; 11.1144; 10.9144; 10.7623; 10.6599; 10.6084; 10.6084; 
211(8.44); 19.3711; 19.3711; 19.3199; 19.2179; 19.0665; 18.8675; 18.623; 18.3361; 18.0101; 17.6488; 17.2565; 16.8378; 16.3975; 15.9409; 15.4732; 15; 14.5268; 14.0591; 13.6025; 13.1622; 12.7435; 12.3512; 11.9899; 11.6639; 11.377; 11.1325; 10.9335; 10.7821; 10.6801; 10.6289; 10.6289; 
212(8.48); 19.3507; 19.3507; 19.2997; 19.1982; 19.0476; 18.8494; 18.6061; 18.3206; 17.9961; 17.6365; 17.246; 16.8292; 16.391; 15.9365; 15.471; 15; 14.529; 14.0635; 13.609; 13.1708; 12.754; 12.3635; 12.0039; 11.6794; 11.3939; 11.1506; 10.9524; 10.8018; 10.7003; 10.6493; 10.6493; 
213(8.52); 19.3304; 19.3304; 19.2796; 19.1786; 19.0287; 18.8314; 18.5893; 18.3051; 17.9821; 17.6242; 17.2355; 16.8207; 16.3845; 15.9321; 15.4688; 15; 14.5312; 14.0679; 13.6155; 13.1793; 12.7645; 12.3758; 12.0179; 11.6949; 11.4107; 11.1686; 10.9713; 10.8214; 10.7204; 10.6696; 10.6696; 
214(8.56); 19.3102; 19.3102; 19.2596; 19.1591; 19.0099; 18.8135; 18.5725; 18.2896; 17.9682; 17.6119; 17.2251; 16.8122; 16.378; 15.9278; 15.4666; 15; 14.5334; 14.0722; 13.622; 13.1878; 12.7749; 12.3881; 12.0318; 11.7104; 11.4275; 11.1865; 10.9901; 10.8409; 10.7404; 10.6898; 10.6898; 
215(8.6); 19.2901; 19.2901; 19.2398; 19.1397; 18.9911; 18.7957; 18.5559; 18.2743; 17.9543; 17.5998; 17.2147; 16.8037; 16.3716; 15.9234; 15.4644; 15; 14.5356; 14.0766; 13.6284; 13.1963; 12.7853; 12.4002; 12.0457; 11.7257; 11.4441; 11.2043; 11.0089; 10.8603; 10.7602; 10.7099; 10.7099; 
216(8.64); 19.27; 19.27; 19.22; 19.1204; 18.9725; 18.778; 18.5393; 18.259; 17.9405; 17.5876; 17.2044; 16.7953; 16.3652; 15.9191; 15.4623; 15; 14.5377; 14.0809; 13.6348; 13.2047; 12.7956; 12.4124; 12.0595; 11.741; 11.4607; 11.222; 11.0275; 10.8796; 10.78; 10.73; 10.73; 
217(8.68); 19.2501; 19.2501; 19.2003; 19.1012; 18.954; 18.7604; 18.5227; 18.2438; 17.9268; 17.5756; 17.1941; 16.7869; 16.3589; 15.9148; 15.4601; 15; 14.5399; 14.0852; 13.6411; 13.2131; 12.8059; 12.4244; 12.0732; 11.7562; 11.4773; 11.2396; 11.046; 10.8988; 10.7997; 10.7499; 10.7499; 
218(8.72); 19.2303; 19.2303; 19.1806; 19.082; 18.9355; 18.7428; 18.5063; 18.2287; 17.9132; 17.5635; 17.1839; 16.7786; 16.3525; 15.9106; 15.458; 15; 14.542; 14.0894; 13.6475; 13.2214; 12.8161; 12.4365; 12.0868; 11.7713; 11.4937; 11.2572; 11.0645; 10.918; 10.8194; 10.7697; 10.7697; 
219(8.76); 19.2105; 19.2105; 19.1611; 19.0629; 18.9171; 18.7254; 18.4899; 18.2136; 17.8996; 17.5516; 17.1737; 16.7703; 16.3462; 15.9063; 15.4558; 15; 14.5442; 14.0937; 13.6538; 13.2297; 12.8263; 12.4484; 12.1004; 11.7864; 11.5101; 11.2746; 11.0829; 10.9371; 10.8389; 10.7895; 10.7895; 
220(8.8); 19.1908; 19.1908; 19.1417; 19.044; 18.8988; 18.708; 18.4736; 18.1986; 17.886; 17.5397; 17.1635; 16.7621; 16.3399; 15.9021; 15.4537; 15; 14.5463; 14.0979; 13.6601; 13.2379; 12.8365; 12.4603; 12.114; 11.8014; 11.5264; 11.292; 11.1012; 10.956; 10.8583; 10.8092; 10.8092; 
221(8.84); 19.1713; 19.1713; 19.1224; 19.0251; 18.8806; 18.6907; 18.4574; 18.1837; 17.8726; 17.5278; 17.1534; 16.7538; 16.3337; 15.8979; 15.4516; 15; 14.5484; 14.1021; 13.6663; 13.2462; 12.8466; 12.4722; 12.1274; 11.8163; 11.5426; 11.3093; 11.1194; 10.9749; 10.8776; 10.8287; 10.8287; 
222(8.88); 19.1518; 19.1518; 19.1031; 19.0063; 18.8625; 18.6734; 18.4413; 18.1688; 17.8592; 17.516; 17.1434; 16.7457; 16.3275; 15.8937; 15.4495; 15; 14.5505; 14.1063; 13.6725; 13.2543; 12.8566; 12.484; 12.1408; 11.8312; 11.5587; 11.3266; 11.1375; 10.9937; 10.8969; 10.8482; 10.8482; 
223(8.92); 19.1324; 19.1324; 19.084; 18.9876; 18.8445; 18.6563; 18.4252; 18.154; 17.8458; 17.5043; 17.1334; 16.7375; 16.3213; 15.8895; 15.4474; 15; 14.5526; 14.1105; 13.6787; 13.2625; 12.8666; 12.4957; 12.1542; 11.846; 11.5748; 11.3437; 11.1555; 11.0124; 10.916; 10.8676; 10.8676; 
224(8.96); 19.1131; 19.1131; 19.0649; 18.969; 18.8265; 18.6392; 18.4092; 18.1393; 17.8326; 17.4926; 17.1235; 16.7294; 16.3151; 15.8854; 15.4453; 15; 14.5547; 14.1146; 13.6849; 13.2706; 12.8765; 12.5074; 12.1674; 11.8607; 11.5908; 11.3608; 11.1735; 11.031; 10.9351; 10.8869; 10.8869; 
225(9); 19.0939; 19.0939; 19.0459; 18.9505; 18.8087; 18.6222; 18.3933; 18.1247; 17.8193; 17.481; 17.1135; 16.7213; 16.309; 15.8813; 15.4432; 15; 14.5568; 14.1187; 13.691; 13.2787; 12.8865; 12.519; 12.1807; 11.8753; 11.6067; 11.3778; 11.1913; 11.0495; 10.9541; 10.9061; 10.9061; 
226(9.04); 19.0748; 19.0748; 19.027; 18.932; 18.7909; 18.6053; 18.3775; 18.1101; 17.8062; 17.4694; 17.1037; 16.7133; 16.3029; 15.8771; 15.4412; 15; 14.5588; 14.1229; 13.6971; 13.2867; 12.8963; 12.5306; 12.1938; 11.8899; 11.6225; 11.3947; 11.2091; 11.068; 10.973; 10.9252; 10.9252; 
227(9.08); 19.0558; 19.0558; 19.0082; 18.9137; 18.7732; 18.5885; 18.3617; 18.0956; 17.7931; 17.4579; 17.0939; 16.7053; 16.2968; 15.8731; 15.4391; 15; 14.5609; 14.1269; 13.7032; 13.2947; 12.9061; 12.5421; 12.2069; 11.9044; 11.6383; 11.4115; 11.2268; 11.0863; 10.9918; 10.9442; 10.9442; 
228(9.12); 19.0368; 19.0368; 18.9895; 18.8954; 18.7556; 18.5718; 18.346; 18.0811; 17.7801; 17.4464; 17.0841; 16.6974; 16.2907; 15.869; 15.4371; 15; 14.5629; 14.131; 13.7093; 13.3026; 12.9159; 12.5536; 12.2199; 11.9189; 11.654; 11.4282; 11.2444; 11.1046; 11.0105; 10.9632; 10.9632; 
229(9.16); 19.018; 19.018; 18.9709; 18.8772; 18.7381; 18.5551; 18.3304; 18.0667; 17.7671; 17.435; 17.0744; 16.6894; 16.2847; 15.8649; 15.435; 15; 14.565; 14.1351; 13.7153; 13.3106; 12.9256; 12.565; 12.2329; 11.9333; 11.6696; 11.4449; 11.2619; 11.1228; 11.0291; 10.982; 10.982; 
230(9.2); 18.9992; 18.9992; 18.9523; 18.8591; 18.7206; 18.5385; 18.3149; 18.0524; 17.7542; 17.4236; 17.0647; 16.6816; 16.2787; 15.8609; 15.433; 15; 14.567; 14.1391; 13.7213; 13.3184; 12.9353; 12.5764; 12.2458; 11.9476; 11.6851; 11.4615; 11.2794; 11.1409; 11.0477; 11.0008; 11.0008; 
231(9.24); 18.9806; 18.9806; 18.9339; 18.8411; 18.7032; 18.522; 18.2994; 18.0382; 17.7413; 17.4123; 17.0551; 16.6737; 16.2728; 15.8569; 15.431; 15; 14.569; 14.1431; 13.7272; 13.3263; 12.9449; 12.5877; 12.2587; 11.9618; 11.7006; 11.478; 11.2968; 11.1589; 11.0661; 11.0194; 11.0194; 
232(9.28); 18.962; 18.962; 18.9155; 18.8232; 18.6859; 18.5055; 18.284; 18.024; 17.7285; 17.4011; 17.0455; 16.6659; 16.2668; 15.8529; 15.429; 15; 14.571; 14.1471; 13.7332; 13.3341; 12.9545; 12.5989; 12.2715; 11.976; 11.716; 11.4945; 11.3141; 11.1768; 11.0845; 11.038; 11.038; 
233(9.32); 18.9435; 18.9435; 18.8972; 18.8053; 18.6687; 18.4892; 18.2687; 18.0099; 17.7158; 17.3899; 17.0359; 16.6581; 16.2609; 15.8489; 15.427; 15; 14.573; 14.1511; 13.7391; 13.3419; 12.9641; 12.6101; 12.2842; 11.9901; 11.7313; 11.5108; 11.3313; 11.1947; 11.1028; 11.0565; 11.0565; 
234(9.36); 18.9251; 18.9251; 18.8791; 18.7875; 18.6516; 18.4729; 18.2534; 17.9958; 17.7031; 17.3787; 17.0264; 16.6504; 16.255; 15.8449; 15.425; 15; 14.575; 14.1551; 13.745; 13.3496; 12.9736; 12.6213; 12.2969; 12.0042; 11.7466; 11.5271; 11.3484; 11.2125; 11.1209; 11.0749; 11.0749; 
235(9.4); 18.9068; 18.9068; 18.8609; 18.7699; 18.6346; 18.4567; 18.2382; 17.9818; 17.6905; 17.3676; 17.017; 16.6427; 16.2492; 15.841; 15.423; 15; 14.577; 14.159; 13.7508; 13.3573; 12.983; 12.6324; 12.3095; 12.0182; 11.7618; 11.5433; 11.3654; 11.2301; 11.1391; 11.0932; 11.0932; 
236(9.44); 18.8885; 18.8885; 18.8429; 18.7523; 18.6176; 18.4405; 18.2231; 17.9679; 17.6779; 17.3566; 17.0076; 16.635; 16.2433; 15.8371; 15.421; 15; 14.579; 14.1629; 13.7567; 13.365; 12.9924; 12.6434; 12.3221; 12.0321; 11.7769; 11.5595; 11.3824; 11.2477; 11.1571; 11.1115; 11.1115; 
237(9.48); 18.8704; 18.8704; 18.825; 18.7347; 18.6007; 18.4245; 18.2081; 17.9541; 17.6654; 17.3456; 16.9982; 16.6274; 16.2375; 15.8332; 15.419; 15; 14.581; 14.1668; 13.7625; 13.3726; 13.0018; 12.6544; 12.3346; 12.0459; 11.7919; 11.5755; 11.3993; 11.2653; 11.175; 11.1296; 11.1296; 
238(9.52); 18.8523; 18.8523; 18.8071; 18.7173; 18.5839; 18.4085; 18.1931; 17.9403; 17.653; 17.3346; 16.9889; 16.6198; 16.2318; 15.8293; 15.4171; 15; 14.5829; 14.1707; 13.7682; 13.3802; 13.0111; 12.6654; 12.347; 12.0597; 11.8069; 11.5915; 11.4161; 11.2827; 11.1929; 11.1477; 11.1477; 
239(9.56); 18.8343; 18.8343; 18.7893; 18.7; 18.5672; 18.3926; 18.1782; 17.9266; 17.6406; 17.3237; 16.9796; 16.6122; 16.226; 15.8254; 15.4151; 15; 14.5849; 14.1746; 13.774; 13.3878; 13.0204; 12.6763; 12.3594; 12.0734; 11.8218; 11.6074; 11.4328; 11.3; 11.2107; 11.1657; 11.1657; 
240(9.6); 18.8164; 18.8164; 18.7717; 18.6827; 18.5505; 18.3767; 18.1634; 17.9129; 17.6283; 17.3129; 16.9703; 16.6047; 16.2203; 15.8216; 15.4132; 15; 14.5868; 14.1784; 13.7797; 13.3953; 13.0297; 12.6871; 12.3717; 12.0871; 11.8366; 11.6233; 11.4495; 11.3173; 11.2283; 11.1836; 11.1836; 
241(9.64); 18.7986; 18.7986; 18.7541; 18.6655; 18.534; 18.361; 18.1486; 17.8993; 17.616; 17.3021; 16.9612; 16.5972; 16.2146; 15.8177; 15.4113; 15; 14.5887; 14.1823; 13.7854; 13.4028; 13.0388; 12.6979; 12.384; 12.1007; 11.8514; 11.639; 11.466; 11.3345; 11.2459; 11.2014; 11.2014; 
242(9.68); 18.7809; 18.7809; 18.7365; 18.6484; 18.5175; 18.3453; 18.1339; 17.8858; 17.6038; 17.2913; 16.952; 16.5898; 16.2089; 15.8139; 15.4094; 15; 14.5906; 14.1861; 13.7911; 13.4102; 13.048; 12.7087; 12.3962; 12.1142; 11.8661; 11.6547; 11.4825; 11.3516; 11.2635; 11.2191; 11.2191; 
243(9.72); 18.7632; 18.7632; 18.7191; 18.6313; 18.501; 18.3297; 18.1193; 17.8723; 17.5917; 17.2806; 16.9429; 16.5824; 16.2033; 15.8101; 15.4074; 15; 14.5926; 14.1899; 13.7967; 13.4176; 13.0571; 12.7194; 12.4083; 12.1277; 11.8807; 11.6703; 11.499; 11.3687; 11.2809; 11.2368; 11.2368; 
244(9.76); 18.7456; 18.7456; 18.7017; 18.6144; 18.4847; 18.3141; 18.1047; 17.8589; 17.5796; 17.27; 16.9338; 16.575; 16.1977; 15.8063; 15.4055; 15; 14.5945; 14.1937; 13.8023; 13.425; 13.0662; 12.73; 12.4204; 12.1411; 11.8953; 11.6859; 11.5153; 11.3856; 11.2983; 11.2544; 11.2544; 
245(9.8); 18.7282; 18.7282; 18.6844; 18.5975; 18.4684; 18.2987; 18.0902; 17.8456; 17.5675; 17.2594; 16.9248; 16.5676; 16.1921; 15.8026; 15.4037; 15; 14.5963; 14.1974; 13.8079; 13.4324; 13.0752; 12.7406; 12.4325; 12.1544; 11.9098; 11.7013; 11.5316; 11.4025; 11.3156; 11.2718; 11.2718; 
246(9.84); 18.7108; 18.7108; 18.6672; 18.5807; 18.4522; 18.2833; 18.0758; 17.8323; 17.5556; 17.2489; 16.9158; 16.5603; 16.1865; 15.7988; 15.4018; 15; 14.5982; 14.2012; 13.8135; 13.4397; 13.0842; 12.7511; 12.4444; 12.1677; 11.9242; 11.7167; 11.5478; 11.4193; 11.3328; 11.2892; 11.2892; 
247(9.88); 18.6934; 18.6934; 18.6501; 18.564; 18.4361; 18.2679; 18.0614; 17.8191; 17.5436; 17.2384; 16.9069; 16.553; 16.181; 15.7951; 15.3999; 15; 14.6001; 14.2049; 13.819; 13.447; 13.0931; 12.7616; 12.4564; 12.1809; 11.9386; 11.7321; 11.5639; 11.436; 11.3499; 11.3066; 11.3066; 
248(9.92); 18.6762; 18.6762; 18.6331; 18.5474; 18.4201; 18.2527; 18.0472; 17.8059; 17.5318; 17.2279; 16.898; 16.5458; 16.1755; 15.7914; 15.398; 15; 14.602; 14.2086; 13.8245; 13.4542; 13.102; 12.7721; 12.4682; 12.1941; 11.9528; 11.7473; 11.5799; 11.4526; 11.3669; 11.3238; 11.3238; 
249(9.96); 18.659; 18.659; 18.6161; 18.5308; 18.4041; 18.2375; 18.0329; 17.7928; 17.5199; 17.2175; 16.8891; 16.5386; 16.17; 15.7877; 15.3962; 15; 14.6038; 14.2123; 13.83; 13.4614; 13.1109; 12.7825; 12.4801; 12.2072; 11.9671; 11.7625; 11.5959; 11.4692; 11.3839; 11.341; 11.341; 
250(10); 18.6419; 18.6419; 18.5992; 18.5143; 18.3882; 18.2224; 18.0188; 17.7798; 17.5082; 17.2072; 16.8803; 16.5314; 16.1645; 15.784; 15.3943; 15; 14.6057; 14.216; 13.8355; 13.4686; 13.1197; 12.7928; 12.4918; 12.2202; 11.9812; 11.7776; 11.6118; 11.4857; 11.4008; 11.3581; 11.3581; 
251(10.04); 18.6249; 18.6249; 18.5824; 18.4979; 18.3724; 18.2074; 18.0047; 17.7668; 17.4965; 17.1969; 16.8715; 16.5242; 16.1591; 15.7804; 15.3925; 15; 14.6075; 14.2196; 13.8409; 13.4758; 13.1285; 12.8031; 12.5035; 12.2332; 11.9953; 11.7926; 11.6276; 11.5021; 11.4176; 11.3751; 11.3751; 
252(10.08); 18.608; 18.608; 18.5657; 18.4816; 18.3567; 18.1924; 17.9907; 17.7539; 17.4848; 17.1866; 16.8628; 16.5171; 16.1537; 15.7767; 15.3907; 15; 14.6093; 14.2233; 13.8463; 13.4829; 13.1372; 12.8134; 12.5152; 12.2461; 12.0093; 11.8076; 11.6433; 11.5184; 11.4343; 11.392; 11.392; 
