29.2439; 28.9823; 28.2548; 27.2116; 26.0389; 24.8935; 23.8559; 22.9212; 22.0262; 21.0977; 20.0955; 19.03; 17.9498; 16.9082; 15.9305; 15; 14.0694; 13.0917; 12.0501; 10.9699; 9.90442; 8.90221; 7.97376; 7.07876; 6.144; 5.10645; 3.96101; 2.78831; 1.7451; 1.01768; 0.7561; 
29.0399; 28.8002; 28.1302; 27.1585; 26.0463; 24.9327; 23.8944; 22.9366; 22.0143; 21.0705; 20.0719; 19.0244; 17.964; 16.9319; 15.948; 15; 14.0519; 13.0681; 12.0359; 10.9756; 9.92798; 8.9294; 7.98565; 7.06334; 6.10555; 5.06723; 3.95359; 2.84145; 1.86974; 1.19975; 0.960115; 
28.8527; 28.6317; 28.011; 27.1013; 26.0429; 24.9595; 23.9243; 22.9502; 22.0068; 21.0504; 20.0537; 19.0195; 17.9743; 16.9497; 15.9613; 15; 14.0387; 13.0502; 12.0256; 10.9805; 9.94619; 8.94954; 7.99316; 7.04971; 6.07566; 5.04039; 3.95704; 2.89864; 1.98892; 1.36823; 1.14734; 
28.6798; 28.475; 27.8968; 27.0411; 26.0306; 24.976; 23.9467; 22.9619; 22.0023; 21.0356; 20.0398; 19.0153; 17.9818; 16.963; 15.9713; 15; 14.0286; 13.0369; 12.0181; 10.9846; 9.96014; 8.96429; 7.99761; 7.03807; 6.05319; 5.02391; 3.96934; 2.95887; 2.10316; 1.52499; 1.32021; 
28.5193; 28.3284; 27.787; 26.9786; 26.0111; 24.9838; 23.9627; 22.9714; 21.9999; 21.025; 20.0292; 19.0119; 17.9872; 16.973; 15.9788; 15; 14.0211; 13.0269; 12.0127; 10.988; 9.97071; 8.97493; 8; 7.02856; 6.03719; 5.0161; 3.98887; 3.02132; 2.21293; 1.6716; 1.48072; 
28.3694; 28.1906; 27.6813; 26.9146; 25.9856; 24.9843; 23.9731; 22.9787; 21.9988; 21.0174; 20.0213; 19.0091; 17.991; 16.9804; 15.9845; 15; 14.0155; 13.0196; 12.0089; 10.9908; 9.97865; 8.98251; 8.00113; 7.02122; 6.02684; 5.01558; 4.01428; 3.08536; 2.31862; 1.80938; 1.63055; 
28.2289; 28.0605; 27.5794; 26.8495; 25.9554; 24.9787; 23.9785; 22.9839; 21.9983; 21.0121; 20.0154; 19.0069; 17.9937; 16.9858; 15.9887; 15; 14.0113; 13.0141; 12.0062; 10.993; 9.98454; 8.98787; 8.00161; 7.01606; 6.02144; 5.0212; 4.04449; 3.15048; 2.42058; 1.93944; 1.77112; 
28.0964; 27.9373; 27.4808; 26.7837; 25.9213; 24.9679; 23.9796; 22.9869; 21.998; 21.0083; 20.011; 19.0052; 17.9956; 16.9897; 15.9918; 15; 14.0082; 13.0102; 12.0043; 10.9948; 9.98888; 8.99166; 8.0019; 7.01305; 6.02038; 5.03199; 4.07859; 3.21627; 2.51913; 2.06271; 1.90359; 
27.971; 27.82; 27.3854; 26.7175; 25.8841; 24.9528; 23.9768; 22.9878; 21.9976; 21.0055; 20.0079; 19.0038; 17.9969; 16.9926; 15.994; 15; 14.0059; 13.0073; 12.003; 10.9961; 9.99207; 8.99441; 8.00236; 7.01212; 6.02313; 5.04715; 4.11585; 3.2824; 2.61454; 2.17999; 2.02897; 
27.8519; 27.708; 27.2929; 26.6513; 25.8443; 24.9339; 23.9707; 22.9867; 21.9967; 21.0034; 20.0055; 19.0028; 17.9979; 16.9947; 15.9957; 15; 14.0042; 13.0052; 12.0021; 10.9972; 9.99443; 8.99652; 8.00324; 7.01319; 6.02925; 5.06601; 4.15566; 3.34863; 2.70705; 2.29194; 2.14809; 
27.7383; 27.6008; 27.2031; 26.5852; 25.8024; 24.9119; 23.9616; 22.9838; 21.9952; 21.0016; 20.0037; 19.002; 17.9985; 16.9962; 15.9969; 15; 14.003; 13.0037; 12.0014; 10.998; 9.99623; 8.99832; 8.00473; 7.01618; 6.03834; 5.088; 4.19752; 3.41475; 2.79689; 2.39914; 2.26167; 
27.6297; 27.4979; 27.1157; 26.5193; 25.7589; 24.8873; 23.9499; 22.979; 21.9929; 20.9999; 20.0022; 19.0013; 17.9989; 16.9973; 15.9978; 15; 14.0022; 13.0026; 12.001; 10.9986; 9.99769; 9.00007; 8.00698; 7.02098; 6.05006; 5.11266; 4.24103; 3.48062; 2.88424; 2.50207; 2.3703; 
27.5255; 27.3988; 27.0307; 26.4538; 25.7141; 24.8604; 23.9358; 22.9724; 21.9899; 20.998; 20.0009; 19.0007; 17.9992; 16.9981; 15.9984; 15; 14.0015; 13.0019; 12.0007; 10.9992; 9.99899; 9.00195; 8.01007; 7.0275; 6.06411; 5.13958; 4.28586; 3.54611; 2.96927; 2.60117; 2.47451; 
27.4252; 27.3032; 26.9478; 26.3888; 25.6682; 24.8315; 23.9197; 22.9643; 21.9859; 20.9958; 19.9997; 19.0002; 17.9993; 16.9986; 15.9988; 15; 14.0011; 13.0013; 12.0006; 10.9997; 10.0003; 9.00412; 8.01406; 7.03562; 6.08022; 5.16842; 4.33171; 3.61113; 3.05216; 2.69678; 2.57475; 
27.3286; 27.2107; 26.8669; 26.3243; 25.6216; 24.801; 23.9018; 22.9547; 21.9809; 20.9932; 19.9983; 18.9996; 17.9993; 16.9989; 15.9992; 15; 14.0008; 13.001; 12.0006; 11.0003; 10.0016; 9.00669; 8.01898; 7.04526; 6.09816; 5.19889; 4.37836; 3.67561; 3.13303; 2.78924; 2.6714; 
