0; 0.5; 1; 1.5; 2; 2.5; 3; 3.5; 4; 4.5; 5; 5.5; 6; 6.5; 7; 7.5; 8; 8.5; 9; 9.5; 10; 10.5; 11; 11.5; 12; 12.5; 13; 13.5; 14; 14.5; 15; 15.5; 16; 16.5; 17; 17.5; 18; 18.5; 19; 19.5; 20; 20.5; 21; 21.5; 22; 22.5; 23; 23.5; 24; 
4.20572; 4.20572; 4.2469; 4.3288; 4.45047; 4.61057; 4.80737; 5.03884; 5.30268; 5.59646; 5.91759; 6.26349; 6.63157; 7.01931; 7.42431; 7.84429; 8.27714; 8.72089; 9.17376; 9.63411; 10.1005; 10.5714; 11.0458; 11.5223; 12; 12.4777; 12.9542; 13.4286; 13.8995; 14.3659; 14.8262; 15.2791; 15.7229; 16.1557; 16.5757; 16.9807; 17.3684; 17.7365; 18.0824; 18.4035; 18.6973; 18.9612; 19.1926; 19.3894; 19.5495; 19.6712; 19.7531; 19.7943; 19.7943; 
4.38498; 4.38498; 4.42429; 4.5025; 4.61881; 4.77203; 4.96066; 5.1829; 5.43674; 5.71997; 6.03029; 6.36532; 6.72268; 7.10003; 7.49507; 7.90564; 8.32965; 8.76518; 9.21043; 9.66372; 10.1235; 10.5883; 11.0569; 11.5278; 12; 12.4722; 12.9431; 13.4117; 13.8765; 14.3363; 14.7896; 15.2348; 15.6703; 16.0944; 16.5049; 16.9; 17.2773; 17.6347; 17.9697; 18.28; 18.5633; 18.8171; 19.0393; 19.228; 19.3812; 19.4975; 19.5757; 19.615; 19.615; 
4.55674; 4.55674; 4.59441; 4.66939; 4.78096; 4.9281; 5.10946; 5.32345; 5.56826; 5.84192; 6.14232; 6.4673; 6.81463; 7.18213; 7.56763; 7.96905; 8.38437; 8.81169; 9.2492; 9.69522; 10.1482; 10.6065; 11.0688; 11.5338; 12; 12.4662; 12.9312; 13.3935; 13.8518; 14.3048; 14.7508; 15.1883; 15.6156; 16.031; 16.4324; 16.8179; 17.1854; 17.5327; 17.8577; 18.1581; 18.4317; 18.6766; 18.8905; 19.0719; 19.219; 19.3306; 19.4056; 19.4433; 19.4433; 
4.72186; 4.72186; 4.75807; 4.83017; 4.93753; 5.07922; 5.25406; 5.4606; 5.69722; 5.96212; 6.25339; 6.569; 6.90693; 7.26509; 7.64145; 8.03399; 8.44078; 8.85994; 9.28967; 9.72829; 10.1742; 10.6257; 11.0815; 11.5401; 12; 12.4599; 12.9185; 13.3743; 13.8258; 14.2717; 14.7103; 15.1401; 15.5592; 15.966; 16.3586; 16.7349; 17.0931; 17.431; 17.7466; 18.0379; 18.3028; 18.5394; 18.7459; 18.9208; 19.0625; 19.1698; 19.2419; 19.2781; 19.2781; 
4.88101; 4.88101; 4.91592; 4.98543; 5.089; 5.22578; 5.39471; 5.59448; 5.82361; 6.08045; 6.36324; 6.67013; 6.99919; 7.34849; 7.71607; 8.10002; 8.49845; 8.90952; 9.33147; 9.76259; 10.2012; 10.6458; 11.0948; 11.5467; 12; 12.4533; 12.9052; 13.3542; 13.7988; 14.2374; 14.6685; 15.0905; 15.5016; 15.9; 16.2839; 16.6515; 17.0008; 17.3299; 17.6368; 17.9195; 18.1764; 18.4055; 18.6053; 18.7742; 18.911; 19.0146; 19.0841; 19.119; 19.119; 
5.03477; 5.03477; 5.06849; 5.13567; 5.2358; 5.36811; 5.53165; 5.72521; 5.94744; 6.19682; 6.47173; 6.77043; 7.09112; 7.43197; 7.79113; 8.16675; 8.557; 8.96009; 9.37427; 9.79784; 10.2291; 10.6666; 11.1085; 11.5535; 12; 12.4465; 12.8915; 13.3334; 13.7709; 14.2022; 14.6257; 15.0399; 15.443; 15.8333; 16.2089; 16.568; 16.9089; 17.2296; 17.5283; 17.8032; 18.0526; 18.2748; 18.4684; 18.6319; 18.7642; 18.8643; 18.9315; 18.9652; 18.9652; 
5.18361; 5.18361; 5.21625; 5.2813; 5.37828; 5.5065; 5.66508; 5.85291; 6.06875; 6.31119; 6.57872; 6.86971; 7.18246; 7.51525; 7.86631; 8.23385; 8.61611; 9.01133; 9.41779; 9.83379; 10.2577; 10.6878; 11.1226; 11.5605; 12; 12.4395; 12.8774; 13.3122; 13.7423; 14.1662; 14.5822; 14.9887; 15.3839; 15.7661; 16.1337; 16.4847; 16.8175; 17.1303; 17.4213; 17.6888; 17.9312; 18.1471; 18.3349; 18.4935; 18.6217; 18.7187; 18.7837; 18.8164; 18.8164; 
5.32793; 5.32793; 5.35958; 5.42266; 5.51675; 5.6412; 5.79518; 5.9777; 6.18759; 6.42354; 6.68412; 6.96782; 7.27303; 7.59811; 7.94136; 8.30107; 8.67551; 9.06299; 9.46179; 9.87024; 10.2867; 10.7095; 11.137; 11.5677; 12; 12.4323; 12.863; 13.2905; 13.7133; 14.1298; 14.5382; 14.937; 15.3245; 15.6989; 16.0586; 16.4019; 16.727; 17.0322; 17.3159; 17.5765; 17.8124; 18.0223; 18.2048; 18.3588; 18.4833; 18.5773; 18.6404; 18.6721; 18.6721; 
5.46808; 5.46808; 5.49881; 5.56007; 5.65147; 5.77241; 5.92213; 6.09969; 6.304; 6.53384; 6.78787; 7.06466; 7.36268; 7.68035; 8.01607; 8.36817; 8.73498; 9.11483; 9.50605; 9.90698; 10.316; 10.7314; 11.1516; 11.575; 12; 12.425; 12.8484; 13.2686; 13.684; 14.093; 14.4939; 14.8852; 15.265; 15.6318; 15.9839; 16.3196; 16.6373; 16.9353; 17.2121; 17.4662; 17.696; 17.9003; 18.0779; 18.2276; 18.3485; 18.4399; 18.5012; 18.5319; 18.5319; 
5.60433; 5.60433; 5.63421; 5.69378; 5.78268; 5.90035; 6.04607; 6.21898; 6.41804; 6.64212; 6.88993; 7.16013; 7.45127; 7.76183; 8.09026; 8.43496; 8.79431; 9.16668; 9.55041; 9.94387; 10.3454; 10.7534; 11.1663; 11.5823; 12; 12.4177; 12.8337; 13.2466; 13.6546; 14.0561; 14.4496; 14.8333; 15.2057; 15.565; 15.9097; 16.2382; 16.5487; 16.8399; 17.1101; 17.3579; 17.582; 17.781; 17.9539; 18.0997; 18.2173; 18.3062; 18.3658; 18.3957; 18.3957; 
