0.130084; 0.441411; 1.2791; 2.40655; 3.57066; 4.62006; 5.54874; 6.44822; 7.41192; 8.46152; 9.54183; 10.5771; 11.5376; 12.4625; 13.423; 14.4582; 15.5385; 16.5881; 17.5518; 18.4513; 19.38; 20.4294; 21.5935; 22.721; 23.5586; 
0.166223; 0.471883; 1.29566; 2.40829; 3.56362; 4.61285; 5.54708; 6.45213; 7.41708; 8.46334; 9.53909; 10.5726; 11.5354; 12.4646; 13.4275; 14.461; 15.5367; 16.583; 17.5479; 18.453; 19.3872; 20.4364; 21.5918; 22.7044; 23.5282; 
0.201694; 0.501871; 1.31218; 2.41039; 3.5571; 4.60598; 5.54541; 6.45579; 7.42197; 8.46508; 9.53653; 10.5683; 11.5334; 12.4666; 13.4317; 14.4635; 15.535; 16.5781; 17.5443; 18.4546; 19.3941; 20.443; 21.5897; 22.6879; 23.4982; 
0.236521; 0.53139; 1.32864; 2.41283; 3.55107; 4.59944; 5.54375; 6.4592; 7.4266; 8.46676; 9.53413; 10.5643; 11.5315; 12.4686; 13.4357; 14.4659; 15.5333; 16.5735; 17.5409; 18.4563; 19.4006; 20.449; 21.5872; 22.6714; 23.4686; 
0.270723; 0.560453; 1.34505; 2.4156; 3.5455; 4.59321; 5.5421; 6.46237; 7.43098; 8.46838; 9.53187; 10.5605; 11.5297; 12.4704; 13.4395; 14.4682; 15.5317; 16.5691; 17.5377; 18.458; 19.4068; 20.4546; 21.5845; 22.655; 23.4396; 
0.30432; 0.589076; 1.3614; 2.41869; 3.54039; 4.58729; 5.54045; 6.46533; 7.43512; 8.46993; 9.52975; 10.5569; 11.528; 12.4721; 13.4431; 14.4703; 15.5301; 16.5649; 17.5347; 18.4596; 19.4128; 20.4597; 21.5814; 22.6387; 23.411; 
0.337332; 0.61727; 1.3777; 2.42208; 3.53572; 4.58166; 5.53882; 6.46808; 7.43904; 8.47141; 9.52777; 10.5535; 11.5263; 12.4737; 13.4465; 14.4723; 15.5287; 16.561; 17.532; 18.4612; 19.4184; 20.4643; 21.578; 22.6224; 23.3828; 
0.369778; 0.645049; 1.39394; 2.42576; 3.53147; 4.57633; 5.53721; 6.47064; 7.44274; 8.47284; 9.52591; 10.5503; 11.5248; 12.4752; 13.4497; 14.4742; 15.5272; 16.5573; 17.5294; 18.4628; 19.4237; 20.4686; 21.5743; 22.6061; 23.355; 
0.401675; 0.672425; 1.41012; 2.42972; 3.52762; 4.57128; 5.53562; 6.47301; 7.44623; 8.4742; 9.52417; 10.5473; 11.5234; 12.4767; 13.4527; 14.4759; 15.5259; 16.5538; 17.527; 18.4644; 19.4288; 20.4724; 21.5703; 22.5899; 23.3276; 
0.43304; 0.69941; 1.42625; 2.43393; 3.52416; 4.5665; 5.53406; 6.47521; 7.44953; 8.47551; 9.52254; 10.5445; 11.522; 12.4781; 13.4556; 14.4775; 15.5246; 16.5505; 17.5248; 18.466; 19.4336; 20.4759; 21.5661; 22.5738; 23.3006; 
0.463891; 0.726014; 1.44231; 2.4384; 3.52108; 4.56199; 5.53253; 6.47725; 7.45265; 8.47676; 9.52101; 10.5418; 11.5207; 12.4794; 13.4583; 14.479; 15.5233; 16.5474; 17.5228; 18.4675; 19.4381; 20.479; 21.5617; 22.5577; 23.274; 
0.494242; 0.75225; 1.45832; 2.44312; 3.51836; 4.55773; 5.53102; 6.47914; 7.45559; 8.47796; 9.51959; 10.5393; 11.5195; 12.4806; 13.4608; 14.4805; 15.5221; 16.5445; 17.5209; 18.469; 19.4423; 20.4817; 21.5569; 22.5417; 23.2478; 
0.52411; 0.778127; 1.47426; 2.44806; 3.51599; 4.55373; 5.52955; 6.48088; 7.45836; 8.47911; 9.51825; 10.5369; 11.5183; 12.4817; 13.4632; 14.4818; 15.521; 16.5417; 17.5192; 18.4705; 19.4463; 20.4841; 21.552; 22.5258; 23.2219; 
0.553509; 0.803656; 1.49015; 2.45322; 3.51395; 4.54997; 5.52812; 6.48249; 7.46097; 8.4802; 9.517; 10.5346; 11.5172; 12.4828; 13.4654; 14.4831; 15.5199; 16.5391; 17.5176; 18.4719; 19.4501; 20.4861; 21.5468; 22.5099; 23.1964; 
0.582453; 0.828846; 1.50597; 2.45859; 3.51224; 4.54645; 5.52673; 6.48398; 7.46344; 8.48125; 9.51584; 10.5325; 11.5162; 12.4838; 13.4675; 14.4842; 15.5188; 16.5366; 17.5161; 18.4733; 19.4536; 20.4878; 21.5415; 22.4941; 23.1712; 
0.610957; 0.853708; 1.52174; 2.46416; 3.51084; 4.54316; 5.52537; 6.48535; 7.46576; 8.48225; 9.51474; 10.5305; 11.5152; 12.4848; 13.4695; 14.4853; 15.5178; 16.5343; 17.5147; 18.4747; 19.4569; 20.4892; 21.5359; 22.4783; 23.1463; 
0.639033; 0.87825; 1.53744; 2.46993; 3.50974; 4.54009; 5.52406; 6.48662; 7.46794; 8.4832; 9.51373; 10.5287; 11.5143; 12.4857; 13.4714; 14.4863; 15.5169; 16.5321; 17.5134; 18.476; 19.46; 20.4903; 21.5301; 22.4626; 23.1218; 
0.666694; 0.902481; 1.55307; 2.47587; 3.50893; 4.53724; 5.5228; 6.48778; 7.46999; 8.48412; 9.51278; 10.5269; 11.5135; 12.4866; 13.4732; 14.4873; 15.5159; 16.5301; 17.5123; 18.4773; 19.4628; 20.4911; 21.5242; 22.447; 23.0975; 
