Nx = 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nt = 100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n/j;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30; 
27(0,27);27,6281;27,6281;27,2913;26,676;25,8697;24,954;23,9858;22,9962;21,9991;20,9998;20;19;18;17;16;15;14;13;12;11;10;9,00019;8,00091;7,00384;6,0142;5,04596;4,13031;3,32399;2,70869;2,37187;2,37187; 
28(0,28);27,5944;27,5944;27,2635;26,6569;25,8588;24,9488;23,9837;22,9954;21,9989;20,9998;20;19;18;17;16;15;14;13;12;11;10;9,00025;8,00113;7,00458;6,01634;5,05122;4,14124;3,34309;2,73654;2,40555;2,40555; 
29(0,29);27,5613;27,5613;27,2359;26,6377;25,8476;24,9433;23,9813;22,9946;21,9986;20,9997;19,9999;19;18;17;16;15;14;13;12;11;10,0001;9,00031;8,00139;7,00541;6,01865;5,05674;4,15243;3,36225;2,76409;2,43865;2,43865; 
30(0,3);27,5288;27,5288;27,2086;26,6185;25,8362;24,9375;23,9789;22,9937;21,9983;20,9996;19,9999;19;18;17;16;15;14;13;12;11;10,0001;9,0004;8,00168;7,00634;6,02114;5,0625;4,16384;3,38145;2,79136;2,4712;2,4712; 
31(0,31);27,4968;27,4968;27,1816;26,5993;25,8245;24,9315;23,9762;22,9926;21,998;20,9995;19,9999;19;18;17;16;15;14;13;12;11;10,0001;9,00049;8,00202;7,00735;6,02379;5,06849;4,17547;3,40068;2,81836;2,50321;2,50321; 
32(0,32);27,4653;27,4653;27,1549;26,5801;25,8127;24,9253;23,9734;22,9915;21,9976;20,9994;19,9999;19;18;17;16;15;14;13;12;11;10,0001;9,00061;8,0024;7,00846;6,02662;5,07472;4,18729;3,41993;2,84507;2,53473;2,53473; 
33(0,33);27,4342;27,4342;27,1285;26,5608;25,8007;24,9188;23,9704;22,9903;21,9972;20,9993;19,9998;19;18;17;16;15;14;13;12;11;10,0002;9,00074;8,00283;7,00967;6,02961;5,08117;4,1993;3,43918;2,87152;2,56576;2,56576; 
34(0,34);27,4037;27,4037;27,1023;26,5416;25,7885;24,9122;23,9672;22,989;21,9967;20,9991;19,9998;19;18;17;16;15;14;13;12;11;10,0002;9,00089;8,0033;7,01098;6,03277;5,08783;4,21147;3,45843;2,89771;2,59634;2,59634; 
35(0,35);27,3735;27,3735;27,0764;26,5223;25,7762;24,9053;23,9639;22,9876;21,9962;20,9989;19,9997;18,9999;18;17;16;15;14;13;12;11,0001;10,0003;9,00107;8,00383;7,01239;6,0361;5,09469;4,2238;3,47766;2,92365;2,62648;2,62648; 
36(0,36);27,3438;27,3438;27,0507;26,5031;25,7637;24,8983;23,9604;22,9861;21,9956;20,9987;19,9997;18,9999;18;17;16;15;14;13;12;11,0001;10,0003;9,00126;8,00441;7,01391;6,03959;5,10174;4,23628;3,49687;2,94933;2,65619;2,65619; 
