;Nx = 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nt = 750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;n/j;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30; 
0;0(0);30;29;28;27;26;25;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1;0; 
0,04;1(0,04);29;29;28;27;26;25;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1;1; 
0,08;2(0,08);28,6;28,6;28;27;26;25;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2;1,4;1,4; 
0,12;3(0,12);28,36;28,36;27,84;27;26;25;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3;2,16;1,64;1,64; 
0,16;4(0,16);28,152;28,152;27,712;26,936;26;25;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4;3,064;2,288;1,848;1,848; 
0,2;5(0,2);27,976;27,976;27,5776;26,872;25,9744;25;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5;4,0256;3,128;2,4224;2,024;2,024; 
0,24;6(0,24);27,8166;27,8166;27,4547;26,7952;25,9437;24,9898;24;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6;5,01024;4,05632;3,2048;2,54528;2,18336;2,18336; 
0,28;7(0,28);27,6719;27,6719;27,3357;26,7184;25,9027;24,9754;23,9959;23;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7;6,0041;5,02458;4,09728;3,2816;2,66432;2,32813;2,32813; 
0,32;8(0,32);27,5374;27,5374;27,2232;26,639;25,8581;24,9545;23,9894;22,9984;22;21;20;19;18;17;16;15;14;13;12;11;10;9;8;7,00164;6,01065;5,04547;4,14193;3,36096;2,77676;2,4626;2,4626; 
0,36;9(0,36);27,4117;27,4117;27,1152;26,5603;25,809;24,9299;23,979;22,9954;21,9993;21;20;19;18;17;16;15;14;13;12;11;10;9;8,00066;7,00459;6,02097;5,07012;4,19096;3,43966;2,88478;2,58826;2,58826; 
0,4;10(0,4);27,2931;27,2931;27,0119;26,4818;25,7579;24,9012;23,9659;22,9904;21,998;20,9997;20;19;18;17;16;15;14;13;12;11;10;9,00026;8,00197;7,00957;6,03408;5,0988;4,24211;3,51823;2,98813;2,70687;2,70687; 
0,44;11(0,44);27,1806;27,1806;26,9123;26,4043;25,7048;24,8698;23,9498;22,9837;21,9957;20,9992;19,9999;19;18;17;16;15;14;13;12;11;10,0001;9,00084;8,00433;7,01633;6,05016;5,13023;4,29523;3,59574;3,08766;2,81937;2,81937; 
0,48;12(0,48);27,0733;27,0733;26,8164;26,3277;25,6506;24,8358;23,9313;22,9749;21,9923;20,9981;19,9996;19;18;17;16;15;14;13;12;11;10,0004;9,00194;8,00773;7,02506;6,06866;5,1642;4,34943;3,67231;3,18358;2,92669;2,92669; 
0,52;13(0,52);26,9706;26,9706;26,7237;26,2523;25,5955;24,7999;23,9106;22,9644;21,9877;20,9964;19,9991;18,9998;18;17;16;15;14;13;12;11,0002;10,0009;9,00362;8,01235;7,03557;6,08944;5,20008;4,40449;3,74767;3,27631;3,02944;3,02944; 
0,56;14(0,56);26,8718;26,8718;26,6339;26,1781;25,54;24,7624;23,8879;22,9522;21,9819;20,994;19,9983;18,9996;17,9999;17;16;15;14;13;12,0001;11,0004;10,0017;9,00601;8,01815;7,04783;6,11215;5,23759;4,46;3,82185;3,36611;3,12819;3,12819; 
0,6;15(0,6);26,7766;26,7766;26,5468;26,1052;25,4842;24,7236;23,8634;22,9383;21,9748;20,9909;19,9971;18,9992;17,9998;17;16;15;14;13;12,0002;11,0008;10,0029;9,00913;8,02516;7,06168;6,13659;5,27637;4,51578;3,89481;3,45324;3,22336;3,22336; 
0,64;16(0,64);26,6847;26,6847;26,4621;26,0334;25,4284;24,6838;23,8375;22,923;21,9666;20,987;19,9955;18,9986;17,9996;16,9999;16;15;14;13,0001;12,0004;11,0014;10,0045;9,01305;8,03336;7,07704;6,16254;5,31622;4,57163;3,96657;3,53792;3,31531;3,31531; 
0,68;17(0,68);26,5956;26,5956;26,3797;25,9629;25,3726;24,6431;23,8102;22,9062;21,9573;20,9822;19,9933;18,9978;17,9993;16,9998;16;15;14;13,0002;12,0007;11,0022;10,0067;9,01777;8,04271;7,09377;6,18981;5,35691;4,62744;4,03713;3,62033;3,40435;3,40435; 
0,72;18(0,72);26,5093;26,5093;26,2993;25,8935;25,3169;24,6017;23,7818;22,8882;21,9468;20,9767;19,9907;18,9966;17,9989;16,9997;15,9999;15;14,0001;13,0003;12,0011;11,0034;10,0093;9,02331;8,05316;7,11176;6,21824;5,39828;4,68311;4,10654;3,70066;3,49075;3,49075; 
0,76;19(0,76);26,4253;26,4253;26,221;25,8252;25,2614;24,5598;23,7523;22,8691;21,9353;20,9703;19,9875;18,9952;17,9983;16,9995;15,9999;15;14,0001;13,0005;12,0017;11,0048;10,0125;9,02966;8,06466;7,13091;6,24767;5,44019;4,73855;4,17481;3,77905;3,57471;3,57471; 
0,8;20(0,8);26,3436;26,3436;26,1444;25,758;25,2063;24,5175;23,722;22,8489;21,9228;20,9632;19,9837;18,9933;17,9975;16,9992;15,9998;15;14,0002;13,0008;12,0025;11,0067;10,0163;9,03681;8,07716;7,15111;6,27797;5,48253;4,79371;4,242;3,85562;3,65645;3,65645; 
0,84;21(0,84);26,2639;26,2639;26,0695;25,6919;25,1514;24,4748;23,691;22,8277;21,9094;20,9552;19,9793;18,9911;17,9965;16,9987;15,9996;15;14,0004;13,0013;12,0035;11,0089;10,0207;9,04475;8,0906;7,17228;6,30905;5,52518;4,84855;4,30813;3,9305;3,73611;3,73611; 
0,88;22(0,88);26,1861;26,1861;25,9962;25,6268;25,097;24,4319;23,6592;22,8057;21,8951;20,9465;19,9744;18,9886;17,9953;16,9982;15,9994;15;14,0006;13,0018;12,0047;11,0114;10,0256;9,05345;8,10493;7,19432;6,34079;5,56808;4,90304;4,37325;4,0038;3,81387;3,81387; 
0,92;23(0,92);26,1102;26,1102;25,9244;25,5626;25,0429;24,3889;23,6269;22,7828;21,8799;20,9371;19,9689;18,9856;17,9938;16,9975;15,9992;15;14,0008;13,0025;12,0062;11,0144;10,0311;9,06289;8,12009;7,21715;6,37312;5,61115;4,95714;4,43738;4,07561;3,88984;3,88984; 
0,96;24(0,96);26,0359;26,0359;25,854;25,4994;24,9892;24,3457;23,5941;22,7593;21,864;20,927;19,9629;18,9822;17,992;16,9967;15,9988;15;14,0012;13,0033;12,008;11,0178;10,0371;9,07304;8,13604;7,24071;6,40594;5,65433;5,01084;4,50057;4,14601;3,96415;3,96415; 
1;25(1);25,9631;25,9631;25,7849;25,4371;24,9359;24,3024;23,5608;22,7351;21,8473;20,9161;19,9562;18,9784;17,9899;16,9957;15,9984;15;14,0016;13,0043;12,0101;11,0216;10,0438;9,08388;8,15271;7,26493;6,43921;5,69758;5,06413;4,56286;4,21509;4,03689;4,03689; 
1,04;26(1,04);25,8918;25,8918;25,7171;25,3757;24,883;24,2591;23,5272;22,7102;21,8299;20,9046;19,949;18,9741;17,9876;16,9945;15,998;15;14,002;13,0055;12,0124;11,0259;10,051;9,09537;8,17007;7,28975;6,47285;5,74085;5,117;4,62426;4,28292;4,10817;4,10817; 
1,08;27(1,08);25,8219;25,8219;25,6504;25,3152;24,8306;24,2159;23,4932;22,6849;21,8119;20,8925;19,9413;18,9695;17,985;16,9931;15,9974;15;14,0026;13,0069;12,015;11,0305;10,0587;9,10748;8,18806;7,31512;6,50681;5,78411;5,16944;4,68482;4,34956;4,17807;4,17807; 
1,12;28(1,12);25,7533;25,7533;25,5849;25,2554;24,7785;24,1727;23,4589;22,659;21,7933;20,8798;19,9331;18,9644;17,982;16,9916;15,9967;15;14,0033;13,0084;12,018;11,0356;10,0669;9,12019;8,20665;7,34097;6,54105;5,82732;5,22146;4,74456;4,41507;4,24667;4,24667; 
1,16;29(1,16);25,686;25,686;25,5205;25,1965;24,727;24,1295;23,4245;22,6327;21,7742;20,8665;19,9243;18,9589;17,9788;16,9898;15,996;15;14,004;13,0102;12,0212;11,0411;10,0757;9,13347;8,2258;7,36728;6,57553;5,87047;5,27305;4,80352;4,47951;4,31403;4,31403; 
1,2;30(1,2);25,6198;25,6198;25,4571;25,1383;24,6758;24,0865;23,3898;22,606;21,7545;20,8527;19,915;18,953;17,9753;16,9879;15,9951;15;14,0049;13,0121;12,0247;11,047;10,085;9,14729;8,24546;7,39398;6,6102;5,91352;5,32421;4,86173;4,54292;4,38022;4,38022; 
1,24;31(1,24);25,5547;25,5547;25,3946;25,0808;24,6251;24,0435;23,355;22,5789;21,7344;20,8384;19,9053;18,9467;17,9714;16,9857;15,9942;15;14,0058;13,0143;12,0286;11,0533;10,0947;9,16162;8,2656;7,42106;6,64504;5,95647;5,37494;4,9192;4,60536;4,4453;4,4453; 
1,28;32(1,28);25,4907;25,4907;25,3331;25,024;24,5747;24,0007;23,32;22,5515;21,7138;20,8236;19,8951;18,94;17,9673;16,9834;15,9931;15;14,0069;13,0166;12,0327;11,06;10,1049;9,17644;8,28619;7,44847;6,68002;5,99929;5,42525;4,97596;4,66687;4,50932;4,50932; 
1,32;33(1,32);25,4277;25,4277;25,2725;24,968;24,5248;23,958;23,2849;22,5238;21,6928;20,8083;19,8845;18,933;17,9628;16,9808;15,992;15;14,008;13,0192;12,0372;11,067;10,1155;9,19173;8,30721;7,47618;6,71511;6,04197;5,47515;5,03204;4,72749;4,57234;4,57234; 
1,36;34(1,36);25,3656;25,3656;25,2127;24,9125;24,4754;23,9155;23,2497;22,4958;21,6714;20,7926;19,8734;18,9255;17,9581;16,9781;15,9907;15;14,0093;13,0219;12,0419;11,0745;10,1266;9,20745;8,3286;7,50416;6,75028;6,0845;5,52463;5,08746;4,78725;4,6344;4,6344; 
1,4;35(1,4);25,3045;25,3045;25,1538;24,8578;24,4263;23,8731;23,2145;22,4676;21,6496;20,7764;19,8619;18,9177;17,953;16,9751;15,9894;15;14,0106;13,0249;12,047;11,0823;10,1381;9,22358;8,35036;7,53239;6,78552;6,12687;5,57371;5,14225;4,8462;4,69554;4,69554; 
1,44;36(1,44);25,2442;25,2442;25,0956;24,8036;24,3776;23,8309;23,1792;22,4392;21,6275;20,7599;19,85;18,9095;17,9477;16,972;15,9879;15;14,0121;13,028;12,0523;11,0905;10,15;9,2401;8,37246;7,56083;6,8208;6,16907;5,62239;5,19641;4,90435;4,7558;4,7558; 
1,48;37(1,48);25,1848;25,1848;25,0382;24,75;24,3293;23,7889;23,1439;22,4105;21,6051;20,743;19,8378;18,901;17,9422;16,9687;15,9864;15;14,0136;13,0313;12,0578;11,099;10,1622;9,25699;8,39486;7,58947;6,85612;6,21109;5,67067;5,24998;4,96176;4,81522;4,81522; 
1,52;38(1,52);25,1262;25,1262;24,9816;24,697;24,2814;23,7471;23,1086;22,3817;21,5824;20,7258;19,8252;18,8922;17,9363;16,9651;15,9847;15;14,0153;13,0349;12,0637;11,1078;10,1748;9,27424;8,41756;7,61829;6,89145;6,25293;5,71856;5,30297;5,01843;4,87384;4,87384; 
1,56;39(1,56);25,0683;25,0683;24,9256;24,6446;24,2339;23,7054;23,0732;22,3527;21,5595;20,7082;19,8122;18,883;17,9302;16,9614;15,983;15;14,017;13,0386;12,0698;11,117;10,1878;9,29181;8,44052;7,64726;6,92678;6,29459;5,76607;5,35539;5,07441;4,93168;4,93168; 
1,6;40(1,6);25,0112;25,0112;24,8703;24,5927;24,1868;23,6639;23,0379;22,3236;21,5363;20,6903;19,7989;18,8736;17,9238;16,9576;15,9812;15;14,0188;13,0424;12,0762;11,1264;10,2011;9,30969;8,46373;7,67637;6,9621;6,33606;5,81321;5,40727;5,12971;4,98877;4,98877; 
